id,cip_prefix,completions
101505,51,316
101505,52,250
101505,99,1511
101514,11,243
101514,15,472
101514,19,37
101514,24,1737
101514,43,2
101514,46,1
101514,47,89
101514,50,29
101514,51,625
101514,52,165
101514,99,3400
101569,10,6
101569,11,16
101569,12,34
101569,15,100
101569,19,26
101569,24,162
101569,30,18
101569,43,1
101569,44,1
101569,46,19
101569,47,49
101569,48,29
101569,50,10
101569,51,87
101569,52,52
101569,99,610
101587,09,59
101587,13,1106
101587,15,14
101587,23,4
101587,26,46
101587,27,7
101587,30,65
101587,31,16
101587,42,37
101587,43,4
101587,45,3
101587,50,1
101587,51,135
101587,52,145
101587,54,4
101587,99,1646
101602,03,18
101602,11,18
101602,12,54
101602,19,16
101602,24,132
101602,47,111
101602,48,98
101602,51,130
101602,52,13
101602,99,590
101648,24,81
101648,99,81
101675,09,16
101675,11,6
101675,13,3
101675,19,8
101675,23,3
101675,26,8
101675,40,1
101675,42,7
101675,43,20
101675,44,17
101675,45,5
101675,50,3
101675,52,44
101675,54,4
101675,99,145
101693,09,5
101693,11,3
101693,13,47
101693,14,2
101693,19,4
101693,23,6
101693,24,7
101693,26,5
101693,27,1
101693,30,3
101693,31,28
101693,38,5
101693,39,9
101693,42,15
101693,45,9
101693,50,41
101693,51,68
101693,52,84
101693,54,7
101693,99,349
101709,03,12
101709,09,20
101709,11,8
101709,13,135
101709,16,1
101709,19,9
101709,23,33
101709,26,20
101709,27,8
101709,31,46
101709,40,4
101709,42,20
101709,44,14
101709,45,23
101709,50,70
101709,51,40
101709,52,132
101709,54,10
101709,99,605
101736,11,64
101736,12,52
101736,15,54
101736,19,19
101736,24,368
101736,30,43
101736,43,9
101736,46,90
101736,47,68
101736,48,221
101736,51,228
101736,52,22
101736,99,1238
101879,04,17
101879,09,34
101879,11,31
101879,13,344
101879,14,7
101879,15,15
101879,16,14
101879,19,21
101879,23,35
101879,26,44
101879,27,18
101879,30,93
101879,31,107
101879,40,4
101879,42,70
101879,43,52
101879,44,126
101879,45,83
101879,50,78
101879,51,315
101879,52,656
101879,54,34
101879,99,2198
101897,11,31
101897,12,47
101897,15,81
101897,19,40
101897,24,350
101897,30,301
101897,43,20
101897,46,10
101897,47,118
101897,48,40
101897,51,217
101897,52,50
101897,99,1305
101912,09,7
101912,11,8
101912,13,8
101912,16,6
101912,24,27
101912,26,40
101912,27,1
101912,30,1
101912,39,17
101912,42,11
101912,44,8
101912,45,5
101912,50,9
101912,51,34
101912,52,15
101912,99,197
101994,12,22
101994,30,1
101994,47,40
101994,48,17
101994,51,51
101994,52,5
101994,99,136
102030,10,5
102030,11,8
102030,12,47
102030,15,117
102030,19,18
102030,24,138
102030,30,20
102030,46,8
102030,47,6
102030,48,22
102030,49,297
102030,51,134
102030,52,7
102030,99,827
102049,03,4
102049,09,51
102049,11,10
102049,13,80
102049,14,3
102049,16,3
102049,19,58
102049,22,165
102049,23,18
102049,24,1
102049,26,24
102049,27,8
102049,30,3
102049,31,20
102049,38,7
102049,39,58
102049,40,2
102049,42,24
102049,44,27
102049,45,27
102049,50,67
102049,51,710
102049,52,254
102049,54,10
102049,99,1634
102058,39,14
102058,52,1
102058,99,15
102067,11,15
102067,12,125
102067,15,61
102067,19,54
102067,24,194
102067,31,6
102067,46,46
102067,47,258
102067,48,107
102067,51,212
102067,52,154
102067,99,1232
102076,11,35
102076,19,6
102076,24,474
102076,47,77
102076,51,35
102076,52,79
102076,99,706
102094,03,4
102094,09,56
102094,11,123
102094,13,243
102094,14,193
102094,16,28
102094,23,19
102094,26,277
102094,27,15
102094,30,94
102094,31,34
102094,38,4
102094,40,16
102094,41,4
102094,42,107
102094,43,44
102094,44,49
102094,45,43
102094,50,73
102094,51,1933
102094,52,264
102094,54,20
102094,99,3643
102234,09,12
102234,13,13
102234,16,1
102234,23,6
102234,24,13
102234,26,21
102234,27,6
102234,38,26
102234,42,20
102234,45,15
102234,50,6
102234,51,29
102234,52,117
102234,54,4
102234,99,289
102270,09,6
102270,13,15
102270,23,3
102270,24,7
102270,26,13
102270,38,1
102270,39,1
102270,42,12
102270,43,10
102270,50,2
102270,52,24
102270,99,94
102298,09,7
102298,11,12
102298,13,6
102298,23,2
102298,24,21
102298,26,9
102298,27,1
102298,40,2
102298,42,23
102298,44,6
102298,45,10
102298,50,5
102298,52,81
102298,99,185
102313,10,18
102313,11,25
102313,12,29
102313,15,87
102313,19,20
102313,24,25
102313,46,2
102313,47,11
102313,51,70
102313,52,4
102313,99,291
102368,03,8
102368,09,139
102368,11,126
102368,13,306
102368,15,15
102368,16,12
102368,23,20
102368,24,145
102368,26,82
102368,27,2
102368,30,197
102368,31,82
102368,42,406
102368,43,180
102368,44,413
102368,45,201
102368,50,51
102368,51,353
102368,52,738
102368,54,28
102368,99,3504
102377,01,142
102377,03,8
102377,04,10
102377,09,14
102377,11,15
102377,13,10
102377,14,71
102377,19,6
102377,23,4
102377,24,2
102377,26,54
102377,27,1
102377,40,8
